language,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,50A,51A,52A,53A,54A,55A,56A,57A,58A,58B,59A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,79B,80A,81A,82A,83A,84A,85A,86A,87A,88A,89A,90A,90B,90C,90E,91A,92A,93A,94A,95A,96A,97A,98A,99A,100A,101A,102A,103A,104A,105A,106A,107A,108A,108B,109A,109B,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,130A,131A,132A,133A,134A,135A,136A,136B,137A,137B,138A,142A,143A,143B,143C,143E,143F,143G,144A,144B,144D,144F,144G,144H,144I,144J,144K,144L,144P,144Q,144R,144S,144T,144V,144W,144X
eng,3,3,1,4,2,1,1,2,2,2,1,3,1,1,4,4,1,1,5,1,5,1,2,2,2,2,2,2,3,2,2,3,2,2,2,6,4,4,1,1,3,2,2,1,2,3,1,2,1,2,2,3,9,1,7,1,1,2,4,2,1,1,6,6,6,1,1,2,1,2,1,2,5,1,4,2,2,1,1,1,1,1,5,1,2,1,2,1,2,3,1,1,1,1,,1,,1,6,1,1,4,4,3,1,2,2,1,2,2,1,4,2,1,3,4,8,5,1,2,2,3,3,3,4,5,2,2,1,4,1,1,1,2,2,2,1,2,2,1,7,7,1,1,1,2,1,1,2,2,1,,,1,4,4,2,3,2,,,4,1,7,4,,,,,,,,,
th,3,3,2,2,4,1,1,2,1,2,1,2,3,,,,,1,1,7,5,1,2,4,2,5,1,1,1,1,1,1,1,1,,,4,4,4,1,2,1,,,1,6,4,1,1,2,1,1,9,2,5,1,3,3,4,2,1,1,5,2,6,1,1,2,4,2,2,5,5,2,4,2,2,1,1,1,1,4,5,1,2,1,2,1,2,2,2,2,2,1,,1,,2,2,2,1,4,4,4,1,1,1,5,1,1,1,1,2,1,3,4,8,5,3,1,3,1,7,1,1,3,1,1,2,2,4,4,1,,,,,2,2,1,,,,,,,,,1,2,1,,,1,4,4,2,3,2,,,4,1,7,4,,,,,,,,,
zu,4,2,5,3,1,1,5,4,,2,1,2,2,6,8,1,1,1,2,1,5,1,3,1,2,5,2,6,2,1,2,5,3,3,1,6,4,1,5,5,3,3,,,5,2,1,,2,2,1,1,2,,6,,1,2,,2,1,1,6,2,,2,2,1,2,1,3,1,1,4,1,2,1,2,2,1,1,4,5,1,2,1,2,,2,2,2,6,,1,,1,,,2,2,1,4,4,4,1,1,2,2,5,2,2,2,2,1,3,4,3,1,2,2,1,3,3,1,1,4,3,2,1,2,4,,1,3,3,3,,2,2,1,,,,,1,2,1,1,3,,15,,7,2,2,4,20,,15,,12,4,4,6,4,,,,,,,,,
gd,,,,,,,,,,,,,,2,8,1,4,,,,,,,,,,,3,3,,,2,2,3,6,,,,1,4,,,,,,,2,,,,,,5,,6,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,3,2,2,1,2,2,2,2,1,1,,1,,1,6,1,1,4,4,4,,,,1,,,,,,,3,4,8,5,,,2,,,,2,1,2,1,1,4,4,3,,,,,,2,2,,,,,,,,,,,,1,,,1,4,4,9,3,,,,,,,,,,,,,1,1,6,4
gn,2,2,3,3,1,1,1,2,3,1,1,1,1,7,8,1,,1,1,1,5,1,3,1,1,1,2,6,,1,3,1,1,1,7,2,4,4,1,4,5,5,3,2,1,6,1,4,,3,1,1,9,2,5,,1,,1,2,2,1,,,7,1,1,2,1,1,4,5,2,4,1,1,,,,2,4,4,1,1,2,1,2,1,1,1,2,1,1,,,,,,,2,,3,,4,2,2,4,2,5,5,5,1,2,2,3,4,8,5,,2,6,3,3,1,1,5,1,1,2,1,4,3,4,1,1,1,,2,2,1,,,,,1,1,1,1,2,,14,1,,1,1,4,18,,14,2,,4,5,5,4,,,,,,,,,
zh-CN,3,2,3,3,1,1,1,2,2,2,3,2,3,1,7,6,,1,1,7,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,8,3,,,5,1,2,1,6,3,2,4,1,2,1,1,9,2,4,1,3,3,4,2,1,1,1,6,8,2,2,1,4,2,4,2,5,2,4,2,2,1,1,1,1,4,5,1,2,1,2,2,4,1,1,1,1,2,1,,,1,2,2,,5,3,3,1,1,1,5,1,1,1,4,2,1,3,4,8,5,,3,2,3,1,1,1,3,1,1,1,2,4,4,1,1,1,1,1,2,2,1,7,5,1,1,1,1,1,1,1,,1,,,1,4,4,2,3,2,,,4,1,7,4,,,,,,,,,
it,,,,,,,,,,,,,,1,3,6,4,,,,,,,,,,,2,3,,,,,,2,6,,4,1,2,,,2,1,,3,2,2,2,2,1,3,9,1,7,,,,4,,,,,,,,1,,,,,2,2,3,4,,2,1,1,,,,,,2,3,2,,2,2,2,1,1,1,,1,,1,6,,1,4,4,4,,,2,2,2,2,1,1,,1,,,,,,,2,1,7,3,6,,,,,,1,1,,3,2,2,2,2,2,,,,,,,,,,2,1,1,,,1,4,4,2,3,2,,,4,1,7,4,,,,,,,,,
hi,5,2,4,4,2,1,1,2,3,1,1,3,1,1,4,4,,1,1,1,1,2,2,3,2,5,2,2,1,3,2,2,2,3,2,6,4,4,5,5,3,1,,,2,6,3,3,1,2,,,1,2,6,2,1,3,,2,1,1,6,6,2,1,1,1,1,1,3,2,1,2,4,2,2,1,2,1,1,3,5,1,1,1,1,,1,1,1,1,1,4,,,1,1,1,2,1,1,5,1,5,5,2,,2,2,1,1,2,1,3,4,8,5,2,2,2,3,3,1,1,1,2,2,1,1,2,2,1,,2,2,1,,,1,,,,,2,2,1,1,1,1,1,,,1,4,4,7,3,,,,,,,,3,4,4,1,11,,,,
bn,4,3,3,2,2,1,1,2,,,1,3,1,2,8,1,5,1,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,1,,6,2,3,,,,,,,,,,,2,1,1,3,,,,,,,,,,,3,5,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,2,2,2,,,,1,,,,,,,,,,,,,,,,1,1,2,,,4,1,4,8,4,,,,,,,,4,4,4,8,1,,,,
hmn,5,2,5,1,1,2,1,2,2,,1,2,3,,,,,1,1,2,5,1,2,4,2,5,1,1,1,1,1,1,1,1,,1,4,,,2,3,1,3,1,,6,1,1,1,2,1,1,9,,,,,,,2,1,1,,,8,,1,2,4,2,4,5,5,2,4,2,2,,,1,1,,,,2,1,2,,2,1,2,2,1,1,,1,,2,4,2,1,4,4,4,1,1,1,1,1,1,1,1,2,1,3,4,8,5,1,1,4,1,7,1,1,,,,,,4,,1,1,,1,1,,,1,,,,,1,1,1,1,,2,1,,,1,4,4,2,3,2,,,4,1,7,4,,,,,,,,,
